id,system,name,genre,developer,publisher,region,playcount,gametime,lastplayed,releasedate,rom
122946,3DO,Strahl,Ação,Media Entertainment,Panasonic,us,2,205,2021-11-30 16:49:53,1995-01-01 00:00:00,Strahl (US).chd
14302,3DO,Dragon's Lair,Ação,ReadySoft,ReadySoft,eu,2,205,2021-11-30 16:49:53,1994-01-01 00:00:00,Dragon's Lair (EU).chd
14316,3DO,Primal Rage,Luta,Time Warner Interactive,Atari,eu,2,205,2021-11-30 16:49:53,1995-01-01 00:00:00,Primal Rage (EU).chd
14380,3DO,Shock Wave,Ação,Electronic Arts,Electronic Arts,eu,2,205,2021-11-30 16:49:53,1994-01-01 00:00:00,Shock Wave (EU).chd
105334,3DO,Panzer General,Estratégia,Strategic Simulations,Strategic Simulations,eu,2,205,2021-11-30 16:49:53,1995-01-01 00:00:00,Panzer General (EU).chd
14358,3DO,Blade Force,Ação,Panasonic,Panasonic,eu,2,205,2021-11-30 16:49:53,1995-01-01 00:00:00,BladeForce (EU).chd
14343,3DO,Flying Nightmares,Simulação,Lifelike Productions,Domark,eu,2,205,2021-11-30 16:49:53,1995-01-01 00:00:00,Flying Nightmares (EU).chd
14293,3DO,Gex,Plataforma,Crystal Dynamics,Crystal Dynamics,eu,1,140,2021-11-20 17:45:58,1994-11-16 00:00:00,Gex (EU).chd
14299,3DO,Star Wars : Rebel Assault,Ação,LucasArts,LucasArts,eu,1,140,2021-11-20 17:45:58,1995-01-01 00:00:00,Star Wars - Rebel Assault (EU).chd
14311,3DO,Battle Chess,Quebra-cabeças,Interplay,Interplay,eu,1,140,2021-11-20 17:45:58,1993-01-01 00:00:00,Battle Chess (EU).chd
122976,3DO,Yu Yu Hakusho,Luta,Hudson,Tomy,jp,14,1157,2024-04-11 12:27:13,1993-01-01 00:00:00,Yuu Yuu Hakusho (JP).chd
14327,3DO,Way Of The Warrior,Luta,Naughty Dog,Universal,us,1,46,2024-04-11 12:28:35,1994-01-01 00:00:00,Way of the Warrior (US).chd
14066,Atari 2600,Marine Wars,Ação,Konami,Konami,us,,,,1983-01-01 00:00:00,Marine Wars (USA).zip
14084,Atari 2600,Boxing,Esporte / Boxe,Activision,Activision,us,,,,1980-01-01 00:00:00,Boxing (USA).zip
37891,Atari 2600,Vault Assault,Ação,Brian Prescott,Self-published,us,,,,2001-08-11 00:00:00,Vault Assault (USA) (Unl).zip
37783,Atari 2600,Mario Bros.,Plataforma,Nintendo,Atari,us,,,,1983-01-01 00:00:00,Mario Bros. (USA).zip
37796,Atari 2600,Oink!,Ação,Activision,Activision,us,,,,1983-01-01 00:00:00,Oink! (USA).zip
14012,Atari 2600,Pitfall! : Pitfall Harry's Jungle Adventure,Plataforma,Activision,Activision,us,,,,1982-04-20 00:00:00,Pitfall! - Pitfall Harry's Jungle Adventure (USA).zip
37787,Atari 2600,MegaMania : A Space Nightmare,Tiro / Estilo Space Invader,Activision,Activision,us,,,,1982-09-01 00:00:00,MegaMania - A Space Nightmare (USA).zip
37723,Atari 2600,Elevator Action,Plataforma / Tiro com rolagem,Taito,CGE Services,us,1,142,2023-02-15 11:43:19,2001-01-01 00:00:00,Elevator Action (USA) (Proto).zip
59435,Atari 2600,Donkey Kong Junior,Plataforma,Nintendo,Coleco,us,1,54,2023-02-15 11:37:52,1983-01-01 00:00:00,Donkey Kong Junior (USA).zip
78337,Atari 2600,Planet Patrol,Ação,Spectravision,Spectravision,us,1,54,2023-02-15 11:37:52,1982-01-01 00:00:00,Planet Patrol (USA).zip
71640,Atari 2600,Escape from the Mindmaster,Ação,Starpath,Starpath,us,1,54,2023-02-15 11:37:52,1982-01-01 00:00:00,Escape from the Mindmaster (USA).zip
14040,Atari 2600,Night Driver,Corrida / Pilotagem,Atari,Atari,us,1,54,2023-02-15 11:37:52,1980-01-01 00:00:00,Night Driver (USA).zip
13988,Atari 2600,Space Invaders,Tiro / Estilo Space Invader,Taito,Atari,us,1,54,2023-02-15 11:37:52,1980-01-01 00:00:00,Space Invaders (USA).zip
37813,Atari 2600,Popeye,Ação,Nintendo,Parker Brothers,us,1,54,2023-02-15 11:37:52,1983-09-01 00:00:00,Popeye (USA).zip
14080,Atari 2600,Indy 500,Corrida / Pilotagem,Sears,Atari,us,1,54,2023-02-15 11:37:52,1977-01-01 00:00:00,Indy 500 - Race (USA).zip
87549,Atari 2600,RealSports Volleyball,Esporte / Voleibol,Atari,Atari,us,1,54,2023-02-15 11:37:52,1982-01-01 00:00:00,RealSports Volleyball (USA).zip
58706,Atari 2600,Sea Hawk,Shoot'em Up,Sancho,Sancho,us,1,54,2023-02-15 11:37:52,1983-01-01 00:00:00,Sea Hawk (USA).zip
37693,Atari 2600,Burgertime,Plataforma,M Network,M Network,us,1,19,2022-11-21 11:13:38,1982-01-01 00:00:00,BurgerTime (USA).zip
14079,Atari 2600,Defender,Tiro / Horizontal,Williams Electronics,Atari,us,1,19,2022-11-21 11:13:38,1981-01-01 00:00:00,Defender (USA).zip
14037,Atari 2600,Ice Hockey,Esporte / Hóquei,Activision,Activision,us,1,19,2022-11-21 11:13:38,1981-01-01 00:00:00,Ice Hockey (USA).zip
37728,Atari 2600,Enduro,Corrida / Pilotagem,Activision,Activision,us,1,19,2022-11-21 11:13:38,1983-01-01 00:00:00,Enduro (USA).zip
87547,Atari 2600,RealSports Football,Esporte / Futebol americano,Atari,Atari,us,1,19,2022-11-21 11:13:38,1982-01-01 00:00:00,RealSports Football (USA).zip
51330,Atari 2600,Bump 'n' Jump,Corrida / Pilotagem,M Network,M Network,us,3,53,2023-02-23 21:30:11,1983-01-01 00:00:00,Bump 'n' Jump (USA).zip
14061,Atari 2600,Jungle Hunt,Plataforma / Corre e Pula com rolagem,Atari,Atari,us,3,53,2023-02-23 21:30:11,1983-01-01 00:00:00,Jungle Hunt (USA).zip
13984,Atari 2600,Pac-Man,Ação / Labirinto,Atari,Atari,us,3,53,2023-02-23 21:30:11,1982-03-16 00:00:00,Pac-Man (USA).zip
13983,Atari 2600,Donkey Kong,Plataforma,Atari,Coleco,us,2,98,2023-02-15 11:40:46,1981-01-01 00:00:00,Donkey Kong (USA).zip
59453,Atari 2600,Grand Prix,Corrida / Pilotagem,Activision,Activision,us,2,98,2023-02-15 11:40:46,1982-01-01 00:00:00,Grand Prix (USA).zip
14027,Atari 2600,Warlords,Ação,Atari,Sears,us,2,98,2023-02-15 11:40:46,1981-01-01 00:00:00,Warlords (USA).zip
14112,Atari 2600,RealSports Boxing,Esporte / Boxe,Atari,Atari,us,2,98,2023-02-15 11:40:46,1987-01-01 00:00:00,RealSports Boxing (USA).zip
51280,Atari 2600,Q*bert,Quebra-cabeças,Western Technologies,Parker Brothers,us,2,98,2023-02-15 11:40:46,1983-01-01 00:00:00,Q-bert (USA).zip
14022,Atari 2600,Football,Esporte / Futebol americano,Atari,Atari,us,2,98,2023-02-15 11:40:46,1978-01-01 00:00:00,Football (USA).zip
14078,Atari 2600,Motocross Racer,Corrida / Pilotagem / Moto,Xonox,Xonox,us,2,98,2023-02-15 11:40:46,1984-01-01 00:00:00,Motocross Racer (USA).zip
