id,game_id,start_time,end_time,playtime
1,14327,2024-04-11 12:27:49,2024-04-11 12:28:34,00:00:45
2,38532,2024-04-11 16:49:49,2024-04-11 16:49:58,00:00:09
3,38060,2024-04-11 16:50:15,2024-04-11 16:50:34,00:00:19
4,13030,2024-04-11 16:51:11,2024-04-11 16:51:52,00:00:41
5,13030,2024-04-11 16:56:59,2024-04-11 16:57:05,00:00:06
6,13030,2024-04-11 16:57:58,2024-04-11 16:58:06,00:00:08
7,58731,2024-04-11 16:59:20,2024-04-11 16:59:29,00:00:09
8,39873,2024-04-11 17:13:40,2024-04-11 17:14:01,00:00:21
9,37358,2024-04-11 17:15:22,2024-04-11 17:15:45,00:00:23
10,149430,2024-04-11 17:16:28,2024-04-11 17:16:53,00:00:25
11,37366,2024-04-11 17:23:07,2024-04-11 17:23:51,00:00:44
12,40163,2024-04-11 17:52:26,2024-04-11 17:56:40,00:04:14
13,40961,2024-04-28 09:31:36,2024-04-28 09:34:55,00:03:19
14,41091,2024-04-28 09:35:54,2024-04-28 09:39:26,00:03:32
15,41139,2024-04-28 09:39:42,2024-04-28 09:59:15,00:19:33
16,37540,2024-04-28 09:59:39,2024-04-28 10:12:25,00:12:46
17,42569,2024-04-28 10:14:12,2024-04-28 10:18:42,00:04:30
18,37582,2024-05-11 15:29:19,2024-05-11 15:38:37,00:09:18
19,84844,2024-05-11 15:39:09,2024-05-11 16:01:21,00:22:12
20,296,2024-05-12 18:32:48,2024-05-12 18:45:08,00:12:20
21,37630,2024-05-12 18:48:16,2024-05-12 18:52:21,00:04:05
22,37563,2024-05-30 08:04:19,2024-05-30 08:04:52,00:00:33
23,13927,2024-05-30 08:18:48,2024-05-30 08:19:07,00:00:19
24,47070,2024-05-30 10:36:13,2024-05-30 10:36:24,00:00:11
25,40075,2024-06-08 18:35:22,2024-06-08 18:37:15,00:01:53
26,149461,2024-06-08 18:45:14,2024-06-08 18:49:49,00:04:35
27,40385,2024-06-11 20:38:20,2024-06-11 20:53:26,00:15:06
28,41814,2024-06-11 20:54:03,2024-06-11 20:59:15,00:05:12
29,46779,2024-06-11 21:07:10,2024-06-11 21:09:57,00:02:47
30,46779,2024-06-11 21:10:06,2024-06-11 21:22:22,00:12:16
31,40,2024-06-16 17:39:11,2024-06-16 17:55:17,00:16:06
32,3845,2024-06-16 18:02:02,2024-06-16 18:08:19,00:06:17
33,14583,2024-06-16 18:33:02,2024-06-16 18:37:37,00:04:35
34,2460,2024-06-16 18:41:29,2024-06-16 18:49:23,00:07:54
35,37433,2024-06-17 20:49:59,2024-06-17 21:07:08,00:17:09
36,754,2024-06-22 14:01:11,2024-06-22 14:01:27,00:00:16
37,13030,2024-06-22 14:02:31,2024-06-22 14:02:40,00:00:09
38,13631,2024-06-22 14:02:55,2024-06-22 14:03:22,00:00:27
39,37394,2024-06-22 15:31:04,2024-06-22 15:55:56,00:24:52
40,37360,2024-07-28 14:11:58,2024-07-28 14:12:42,00:00:44
41,37433,2024-07-28 14:18:04,2024-07-28 14:20:51,00:02:47
42,13857,2024-07-28 14:21:49,2024-07-28 14:21:50,00:00:01
43,13857,2024-07-28 14:22:01,2024-07-28 14:29:12,00:07:11
44,37595,2024-07-28 14:29:29,2024-07-28 14:37:23,00:07:54
45,37442,2024-07-28 14:37:59,2024-07-28 14:41:21,00:03:22
46,37626,2024-07-28 14:42:36,2024-07-28 14:48:20,00:05:44
47,37573,2024-07-28 14:48:41,2024-07-28 15:03:46,00:15:05
48,13877,2024-07-28 15:03:59,2024-07-28 15:17:51,00:13:52
49,37605,2024-07-28 15:18:47,2024-07-28 15:21:57,00:03:10
50,41814,2024-07-28 15:22:29,2024-07-28 15:30:32,00:08:03
51,41793,2024-07-28 15:31:04,2024-07-28 15:32:09,00:01:05
52,40999,2024-07-28 15:32:43,2024-07-28 15:34:53,00:02:10
53,40733,2024-07-28 15:35:12,2024-07-28 15:35:36,00:00:24
56,41536,2024-08-14 08:25:16,2024-08-14 09:00:55,00:35:39
57,44202,2024-09-13 21:43:21,2024-09-13 22:25:41,00:42:20
58,13852,2024-09-13 22:27:26,2024-09-13 22:27:36,00:00:10
59,37391,2024-09-14 07:13:05,2024-09-14 07:38:31,00:25:26
60,149432,2024-10-13 08:36:49,2024-10-13 08:40:06,00:03:17
61,41000,2024-10-13 08:40:31,2024-10-13 09:15:53,00:35:22
62,41995,2024-10-13 09:50:27,2024-10-13 09:55:11,00:04:44
63,37564,2025-01-12 09:22:03,2025-01-12 09:23:43,00:01:40
64,41176,2025-01-12 11:26:42,2025-01-12 11:27:17,00:00:35
65,1781,2025-01-19 10:12:29,2025-01-19 10:12:49,00:00:20
66,1365,2025-01-19 10:26:45,2025-01-19 10:28:11,00:01:26
67,14484,2025-01-19 11:30:55,2025-01-19 11:32:43,00:01:48
68,87644,2025-01-19 11:33:11,2025-01-19 11:33:34,00:00:23
69,40387,2025-01-19 11:34:08,2025-01-19 11:34:29,00:00:21
70,37422,2025-01-26 07:23:04,2025-01-26 07:53:50,00:30:46
71,37426,2025-01-28 21:20:27,2025-01-28 21:21:41,00:01:14
72,37426,2025-01-28 21:21:48,2025-01-28 21:53:01,00:31:13
73,42888,2025-01-31 06:30:58,2025-01-31 06:41:04,00:10:06
74,43135,2025-01-31 06:41:54,2025-01-31 06:43:19,00:01:25
75,43084,2025-01-31 06:43:58,2025-01-31 06:54:44,00:10:46
76,41049,2025-03-22 18:09:40,2025-03-22 18:21:32,00:11:52
77,64287,2025-03-22 18:26:04,2025-03-22 18:26:07,00:00:03
78,46755,2025-03-22 18:27:20,2025-03-22 18:53:04,00:25:44
79,39873,2025-09-11 08:48:20,2025-09-11 09:14:33,00:26:13
80,37626,2025-09-12 09:54:32,2025-09-12 10:03:29,00:08:57
